Name,Size,Type,Tag,Alignment,Fly/Hover/Swim,CR,Source book,Source page,Spell user,Legendary actions,Lair actions,Abilities,Actions,Reaction,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other,,Credits
Aarakocra,Medium,Humanoid,Aarakocra,Neutral good,,1/4,MM,12,n,n,n,,,,,,,,,,x,,,,,,,https://aversten.obsidianportal.com/wiki_pages/tome-of-beasts
Aatxe,Large,Celestial,Shapechanger,Lawful good,,5,CC,7,n,y,y,,,,,,,,,,,,,,,,,
Aaztar-ghola,Medium,Humanoid,,Chaotic evil,,4,FEF,5,n,n,n,,,,x,x,x,x,x,x,x,x,x,,x,,,https://donjon.bin.sh/5e/monsters/
Abjurer,Medium,Humanoid,Any Race,Any alignment,,9,VGtM,209,y,n,n,,,,,,,,,,,,,,x,,,
Aboleth,Large,Aberration,,Lawful evil,,10,MM,13,n,y,y,,,,,,,,,,,,x,,,,,/u/Pinkknight42
"Aboleth, Nihileth",Large,Undead,,Chaotic evil,,12,ToB,8,n,y,y,,,,,,,,,,,,ø,,,ø,,/u/the_largest_rodent
Abominable Beauty,Medium,Elemental,,Neutral evil,,11,ToB,11,n,n,n,,,,,,,,,,,,,,,ø,,
Abominable Yeti,Huge,Monstrosity,,Chaotic evil,,9,MM,306,n,n,n,,,,x,,,,,,,,,,,,,"All the ""homebrew"" sources can be found here"
Abyssal Wretch,Medium,Fiend,Demon,Chaotic evil,,1/4,MToF,136,n,n,n,,,,,,,,,,,,,,,ø,,https://drive.google.com/open?id=1gKZwbVwWOMfL8-HMHDDv3JevSnuB-wbs
Accursed Defiler,Medium,Undead,,Neutral evil,,4,ToB,12,n,n,n,,,,,,ø,,,,,,,,,,,x means the creature is on the Monster By Enviroment List in the official D&D books
Acererak,Medium,Undead,,Neutral evil,,23,ToA,209,y,y,n,,,,,,,,,,,,,,,,,"ø is my personal interpretation of where they might be found, derived from their fluff description"
Acid Ant,Small,Monstrosity,,Unaligned,,1/4,CC,8,n,n,n,,,,x,x,x,x,x,x,x,x,x,x,x,,,
Acolyte,Medium,Humanoid,Any Race,Any alignment,,1/4,MM,342,y,n,n,,,,,,,,,,,,,,x,,,MM - Monster Manual 5e
Adherer,Medium,Aberration,,Lawful evil,,2,FEF,6,y,n,n,,,,,,,x,,,,x,x,,,,,VGtM - Volo's Giude to Monsters
Adult Black Dragon,Huge,Dragon,,Chaotic evil,,14,MM,88,n,y,y,,,,,,,,,,,x,,,,,,ToB - Tome of Beasts 5e
Adult Blue Dracolich,Huge,Undead,,Lawful evil,,17,MM,84,n,y,n,,,,,,,,,,,,,,,ø,,MaDC - Monster a Day Compendium 2.0 - Homebrew
Adult Blue Dragon,Huge,Dragon,,Lawful evil,,16,MM,91,n,y,y,,,,,x,x,,,,,,,,,,,LMoP - Lost Mines of Phandelver
Adult Brass Dragon,Huge,Dragon,,Chaotic good,,13,MM,105,n,y,y,,,,,,x,,,,,,,,,,,HotDQ - Hoard of the Dragon Queen
Adult Bronze Dragon,Huge,Dragon,,Lawful good,,15,MM,108,n,y,y,,,,,x,,,,,,,,,,,,RoT - Rise of Tiamat
Adult Cave Dragon,Huge,Dragon,,Neutral evil,,16,ToB,125,y,y,y,,,,,,,,,,,,ø,,,,,PotA - Princes of the Apocalypse
Adult Copper Dragon,Huge,Dragon,,Chaotic good,,14,MM,111,n,y,y,,,,,,,,,x,,,,,,,,OotA - Out of the Abyss
Adult Faerie Dragon,Tiny,Dragon,,Chaotic good,,2,MM,133,y,n,n,,,,,,,x,,,,,,,,,,CoS - Curse of Strahd
Adult Flame Dragon,Huge,Dragon,,Chaotic evil,,16,ToB,129,n,y,y,,,,,,,,,ø,ø,,,,,,,SKT - Storm King's Thunder
Adult Gold Dragon,Huge,Dragon,,Lawful good,,17,MM,114,n,y,y,,,,,,,x,x,,,,,,,,,FEF - Fifth Edition Monsters
Adult Green Dragon,Huge,Dragon,,Lawful evil,,15,MM,94,n,y,y,,,,,,,x,,,,,,,,,,ToA - Tomb of Annihilation
Adult Kruthik,Medium,Monstrosity,,Unaligned,,2,MToF,212,n,n,n,,,,,,x,,,,x,,x,,,,,MToF - Mordenkainen's Tome of Foes
Adult Light Dragon,Huge,Dragon,Dragon,Neutral good,,16,CC,114,n,y,y,"Ethereal Sight, Illumination, Incorporeal Movement, Legendary Resistance, Void Traveler","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapon",,,,,,,,,,,,,,,GGtR - Guildmasters' Guide to Ravnica
Adult Mithral Dragon,Huge,Dragon,,Neutral,,14,ToB,133,y,y,n,,,,,,,,,,,,ø,,,,,WDotMM - Waterdeep - Dungeon of the Mad Mage
Adult Oblex,Medium,Ooze,Oblex,Lawful evil,,5,MToF,218,y,n,n,,,,,,,,,,,x,x,,x,,,CC - Creature Codex
Adult Phoenix,Large,Monstrosity,,Lawful good,,10,MaDC,162,y,n,n,,,,,,ø,,,,ø,,,,,,,
